case_id,start_time,end_time,Role,Activity,Resource
3,2010-12-31T15:23:00,2010-12-31T16:03:00,Requester, Create Purchase Requisition,Kim Passa
3,2011-01-01T14:50:00,2011-01-01T14:58:00,Requester, Analyze Purchase Requisition,Heinz Gutschmidt
3,2011-01-01T15:01:00,2011-01-01T15:03:00,Requester, Create Request for Quotation Requester Manager,Francis Odell
3,2011-01-01T16:27:00,2011-01-01T16:48:00,Requester, Analyze Request for Quotation,Karel de Groot
3,2011-01-02T04:29:00,2011-01-02T04:55:00,Requester, Send Request for Quotation to Supplier,Magdalena Predutta
3,2011-01-02T05:00:00,2011-01-02T10:00:00,Requester, Create Quotation comparison Map,Francois de Perrier
3,2011-01-02T16:18:00,2011-01-02T16:47:00,Requester, Analyze Quotation comparison Map,Clement Duchot
3,2011-01-02T16:47:00,2011-01-02T16:47:00,Requester, Choose best option,Christian Francois
3,2011-01-03T03:14:00,2011-01-03T11:16:00,Requester, Settle conditions with supplier,Francois de Perrier
3,2011-01-03T12:51:00,2011-01-03T12:59:00,Requester, Create Purchase Order,Francois de Perrier
3,2011-01-03T16:47:00,2011-01-03T17:10:00,Requester, Confirm Purchase Order,Karen Clarens
3,2011-01-04T03:53:00,2011-01-05T03:20:00,Requester, Deliver Goods Services,Esmeralda Clay
3,2011-01-05T10:54:00,2011-01-05T10:55:00,Requester, Release Purchase Order,Elvira Lores
3,2011-01-06T02:46:00,2011-01-06T02:47:00,Requester, Approve Purchase Order for payment,Francois de Perrier
3,2011-01-06T14:33:00,2011-01-06T14:33:00,Requester, Send invoice,Kiu Kan
3,2011-01-07T04:51:00,2011-01-07T04:55:00,Requester, Release Supplier's Invoice,Karalda Nimwada
3,2011-01-07T04:55:00,2011-01-07T04:55:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
3,2011-01-07T05:24:00,2011-01-07T05:31:00,Requester, Pay invoice,Karalda Nimwada
4,2010-12-31T21:39:00,2010-12-31T22:00:00,Requester, Create Purchase Requisition,Fjodor Kowalski
4,2011-01-01T07:45:00,2011-01-01T07:51:00,Requester, Analyze Purchase Requisition,Maris Freeman
4,2011-01-01T07:56:00,2011-01-01T07:58:00,Requester, Create Request for Quotation Requester Manager,Heinz Gutschmidt
4,2011-01-01T08:58:00,2011-01-01T09:19:00,Requester, Analyze Request for Quotation,Francois de Perrier
4,2011-01-01T10:06:00,2011-01-01T10:14:00,Requester, Amend Request for Quotation Requester,Nico Ojenbeer
4,2011-01-01T11:01:00,2011-01-01T11:24:00,Requester, Analyze Request for Quotation,Francois de Perrier
4,2011-01-01T15:42:00,2011-01-01T16:01:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
4,2011-01-01T16:48:00,2011-01-01T22:08:00,Requester, Create Quotation comparison Map,Karel de Groot
4,2011-01-02T04:59:00,2011-01-02T05:13:00,Requester, Analyze Quotation comparison Map,Elvira Lores
4,2011-01-02T05:13:00,2011-01-02T05:13:00,Requester, Choose best option,Kim Passa
4,2011-01-02T08:13:00,2011-01-02T20:45:00,Requester, Settle conditions with supplier,Magdalena Predutta
4,2011-01-03T01:08:00,2011-01-03T01:17:00,Requester, Create Purchase Order,Magdalena Predutta
4,2011-01-03T05:13:00,2011-01-03T05:38:00,Requester, Confirm Purchase Order,Carmen Finacse
4,2011-01-03T12:05:00,2011-01-04T15:30:00,Requester, Deliver Goods Services,Carmen Finacse
4,2011-01-04T22:57:00,2011-01-04T22:58:00,Requester, Release Purchase Order,Miu Hanwan
4,2011-01-05T13:29:00,2011-01-05T13:30:00,Requester, Approve Purchase Order for payment,Magdalena Predutta
4,2011-01-05T19:13:00,2011-01-05T19:13:00,Requester, Send invoice,Esmeralda Clay
4,2011-01-06T09:39:00,2011-01-06T09:39:00,Requester, Authorize Supplier's Invoice payment,Pedro Alvares
4,2011-01-06T10:25:00,2011-01-06T10:32:00,Requester, Pay invoice,Karalda Nimwada
5,2010-12-31T22:49:00,2010-12-31T23:35:00,Requester, Create Purchase Requisition,Esmana Liubiata
5,2011-01-01T14:50:00,2011-01-01T14:57:00,Requester, Analyze Purchase Requisition,Maris Freeman
5,2011-01-01T15:05:00,2011-01-01T15:06:00,Requester, Create Request for Quotation Requester Manager,Maris Freeman
5,2011-01-01T16:02:00,2011-01-01T16:27:00,Requester, Analyze Request for Quotation,Karel de Groot
5,2011-01-01T17:21:00,2011-01-01T17:33:00,Requester, Amend Request for Quotation Requester,Anne Olwada
5,2011-01-01T22:08:00,2011-01-01T22:42:00,Requester, Analyze Request for Quotation,Karel de Groot
5,2011-01-02T07:49:00,2011-01-02T08:21:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
5,2011-01-02T08:36:00,2011-01-02T09:14:00,Requester, Create Quotation comparison Map,Karel de Groot
5,2011-01-02T16:18:00,2011-01-02T16:30:00,Requester, Analyze Quotation comparison Map,Anne Olwada
5,2011-01-02T16:30:00,2011-01-02T16:30:00,Requester, Choose best option,Nico Ojenbeer
5,2011-01-03T02:18:00,2011-01-03T08:12:00,Requester, Settle conditions with supplier,Magdalena Predutta
5,2011-01-03T10:01:00,2011-01-03T10:09:00,Requester, Create Purchase Order,Karel de Groot
5,2011-01-03T14:02:00,2011-01-03T14:24:00,Requester, Confirm Purchase Order,Karen Clarens
5,2011-01-03T22:08:00,2011-01-04T17:37:00,Requester, Deliver Goods Services,Kiu Kan
5,2011-01-05T01:13:00,2011-01-05T01:14:00,Requester, Release Purchase Order,Anna Kaufmann
5,2011-01-05T15:41:00,2011-01-05T15:42:00,Requester, Approve Purchase Order for payment,Francois de Perrier
5,2011-01-05T21:23:00,2011-01-05T21:23:00,Requester, Send invoice,Esmeralda Clay
5,2011-01-06T11:47:00,2011-01-06T11:47:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
5,2011-01-06T11:55:00,2011-01-06T12:04:00,Requester, Pay invoice,Karalda Nimwada
6,2011-01-01T00:20:00,2011-01-01T00:37:00,Requester, Create Purchase Requisition,Christian Francois
6,2011-01-01T06:32:00,2011-01-01T06:45:00,Requester, Create Request for Quotation Requester,Alberto Duport
6,2011-01-01T07:39:00,2011-01-01T07:55:00,Requester, Analyze Request for Quotation,Magdalena Predutta
6,2011-01-01T08:47:00,2011-01-01T08:55:00,Requester, Amend Request for Quotation Requester,Penn Osterwalder
6,2011-01-01T09:55:00,2011-01-01T10:28:00,Requester, Analyze Request for Quotation,Francois de Perrier
6,2011-01-01T11:13:00,2011-01-01T11:28:00,Requester, Amend Request for Quotation Requester,Anne Olwada
6,2011-01-01T12:24:00,2011-01-01T12:48:00,Requester, Analyze Request for Quotation,Karel de Groot
6,2011-01-01T22:51:00,2011-01-01T23:22:00,Requester, Send Request for Quotation to Supplier,Francois de Perrier
6,2011-01-01T23:27:00,2011-01-02T04:32:00,Requester, Create Quotation comparison Map,Francois de Perrier
6,2011-01-02T10:44:00,2011-01-02T11:01:00,Requester, Analyze Quotation comparison Map,Penn Osterwalder
6,2011-01-02T11:01:00,2011-01-02T11:01:00,Requester, Choose best option,Tesca Lobes
6,2011-01-02T13:25:00,2011-01-03T02:16:00,Requester, Settle conditions with supplier,Francois de Perrier
6,2011-01-03T03:57:00,2011-01-03T04:07:00,Requester, Create Purchase Order,Karel de Groot
6,2011-01-03T07:55:00,2011-01-03T08:16:00,Requester, Confirm Purchase Order,Karen Clarens
6,2011-01-03T18:08:00,2011-01-04T16:16:00,Requester, Deliver Goods Services,Karen Clarens
6,2011-01-04T23:27:00,2011-01-04T23:28:00,Requester, Release Purchase Order,Nico Ojenbeer
6,2011-01-05T06:09:00,2011-01-05T06:10:00,Requester, Approve Purchase Order for payment,Karel de Groot
6,2011-01-05T11:56:00,2011-01-05T11:56:00,Requester, Send invoice,Esmeralda Clay
6,2011-01-06T02:12:00,2011-01-06T02:19:00,Requester, Release Supplier's Invoice,Karalda Nimwada
6,2011-01-06T02:19:00,2011-01-06T02:19:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
6,2011-01-06T02:43:00,2011-01-06T02:50:00,Requester, Pay invoice,Karalda Nimwada
7,2011-01-01T03:05:00,2011-01-01T04:00:00,Requester, Create Purchase Requisition,Esmana Liubiata
7,2011-01-02T02:33:00,2011-01-02T02:38:00,Requester, Analyze Purchase Requisition,Maris Freeman
7,2011-01-02T02:41:00,2011-01-02T02:42:00,Requester, Create Request for Quotation Requester Manager,Maris Freeman
7,2011-01-02T04:07:00,2011-01-02T04:29:00,Requester, Analyze Request for Quotation,Magdalena Predutta
7,2011-01-02T05:21:00,2011-01-02T05:28:00,Requester, Amend Request for Quotation Requester,Esmana Liubiata
7,2011-01-02T06:22:00,2011-01-02T06:47:00,Requester, Analyze Request for Quotation,Karel de Groot
7,2011-01-02T07:36:00,2011-01-02T07:50:00,Requester, Amend Request for Quotation Requester,Nico Ojenbeer
7,2011-01-02T09:14:00,2011-01-02T09:28:00,Requester, Analyze Request for Quotation,Karel de Groot
7,2011-01-02T13:17:00,2011-01-02T13:40:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
7,2011-01-02T21:00:00,2011-01-03T01:08:00,Requester, Create Quotation comparison Map,Magdalena Predutta
7,2011-01-03T08:19:00,2011-01-03T08:35:00,Requester, Analyze Quotation comparison Map,Miu Hanwan
7,2011-01-03T08:35:00,2011-01-03T08:35:00,Requester, Choose best option,Immanuel Karagianni
7,2011-01-03T11:52:00,2011-01-04T02:08:00,Requester, Settle conditions with supplier,Magdalena Predutta
7,2011-01-04T06:10:00,2011-01-04T06:18:00,Requester, Create Purchase Order,Karel de Groot
7,2011-01-04T15:37:00,2011-01-04T15:44:00,Requester, Confirm Purchase Order,Carmen Finacse
7,2011-01-04T22:12:00,2011-01-05T08:17:00,Requester, Deliver Goods Services,Karen Clarens
7,2011-01-05T15:34:00,2011-01-05T15:35:00,Requester, Release Purchase Order,Clement Duchot
7,2011-01-05T23:43:00,2011-01-05T23:44:00,Requester, Approve Purchase Order for payment,Magdalena Predutta
7,2011-01-06T08:11:00,2011-01-06T08:11:00,Requester, Send invoice,Karen Clarens
7,2011-01-06T22:22:00,2011-01-06T22:27:00,Requester, Release Supplier's Invoice,Karalda Nimwada
7,2011-01-06T22:27:00,2011-01-06T22:27:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
7,2011-01-06T22:41:00,2011-01-06T22:53:00,Requester, Pay invoice,Karalda Nimwada
8,2011-01-01T03:27:00,2011-01-01T04:17:00,Requester, Create Purchase Requisition,Fjodor Kowalski
8,2011-01-01T07:00:00,2011-01-01T07:07:00,Requester, Create Request for Quotation Requester,Tesca Lobes
8,2011-01-01T08:04:00,2011-01-01T08:27:00,Requester, Analyze Request for Quotation,Francois de Perrier
8,2011-01-01T09:21:00,2011-01-01T09:34:00,Requester, Amend Request for Quotation Requester,Tesca Lobes
8,2011-01-01T10:35:00,2011-01-01T11:01:00,Requester, Analyze Request for Quotation,Magdalena Predutta
8,2011-01-01T22:20:00,2011-01-01T22:48:00,Requester, Send Request for Quotation to Supplier,Francois de Perrier
8,2011-01-01T23:10:00,2011-01-02T04:33:00,Requester, Create Quotation comparison Map,Karel de Groot
8,2011-01-02T11:08:00,2011-01-02T11:14:00,Requester, Analyze Quotation comparison Map,Anne Olwada
8,2011-01-02T11:14:00,2011-01-02T11:14:00,Requester, Choose best option,Immanuel Karagianni
8,2011-01-02T13:40:00,2011-01-03T01:50:00,Requester, Settle conditions with supplier,Karel de Groot
8,2011-01-03T04:07:00,2011-01-03T04:19:00,Requester, Create Purchase Order,Karel de Groot
8,2011-01-03T08:06:00,2011-01-03T08:31:00,Requester, Confirm Purchase Order,Sean Manney
8,2011-01-03T18:00:00,2011-01-04T23:34:00,Requester, Deliver Goods Services,Sean Manney
8,2011-01-05T07:11:00,2011-01-05T07:12:00,Requester, Release Purchase Order,Esmana Liubiata
8,2011-01-06T02:47:00,2011-01-06T02:48:00,Requester, Approve Purchase Order for payment,Francois de Perrier
8,2011-01-06T14:19:00,2011-01-06T14:19:00,Requester, Send invoice,Kiu Kan
8,2011-01-07T04:41:00,2011-01-07T04:48:00,Requester, Release Supplier's Invoice,Pedro Alvares
8,2011-01-07T04:48:00,2011-01-07T04:48:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
8,2011-01-07T04:53:00,2011-01-07T05:04:00,Requester, Pay invoice,Pedro Alvares
9,2011-01-01T05:17:00,2011-01-01T05:34:00,Requester, Create Purchase Requisition,Tesca Lobes
9,2011-01-01T11:38:00,2011-01-01T11:48:00,Requester, Create Request for Quotation Requester,Penn Osterwalder
9,2011-01-01T12:49:00,2011-01-01T13:12:00,Requester, Analyze Request for Quotation,Karel de Groot
9,2011-01-02T05:04:00,2011-01-02T05:30:00,Requester, Amend Request for Quotation Requester Manager,Heinz Gutschmidt
9,2011-01-02T06:27:00,2011-01-02T06:51:00,Requester, Analyze Request for Quotation,Magdalena Predutta
9,2011-01-02T07:46:00,2011-01-02T07:57:00,Requester, Amend Request for Quotation Requester,Fjodor Kowalski
9,2011-01-02T09:28:00,2011-01-02T09:45:00,Requester, Analyze Request for Quotation,Karel de Groot
9,2011-01-02T10:43:00,2011-01-02T10:49:00,Requester, Amend Request for Quotation Requester,Elvira Lores
9,2011-01-02T11:54:00,2011-01-02T12:26:00,Requester, Analyze Request for Quotation,Francois de Perrier
9,2011-01-02T13:14:00,2011-01-02T13:25:00,Requester, Amend Request for Quotation Requester,Esmana Liubiata
9,2011-01-02T20:45:00,2011-01-02T21:00:00,Requester, Analyze Request for Quotation,Magdalena Predutta
9,2011-01-03T13:04:00,2011-01-03T13:25:00,Requester, Amend Request for Quotation Requester Manager,Heinz Gutschmidt
9,2011-01-03T15:02:00,2011-01-03T15:23:00,Requester, Analyze Request for Quotation,Francois de Perrier
9,2011-01-03T16:12:00,2011-01-03T16:22:00,Requester, Amend Request for Quotation Requester,Anna Kaufmann
9,2011-01-03T18:51:00,2011-01-03T18:56:00,Requester, Analyze Request for Quotation,Karel de Groot
10,2011-01-01T15:52:00,2011-01-01T16:43:00,Requester, Create Purchase Requisition,Esmana Liubiata
10,2011-01-01T23:25:00,2011-01-01T23:32:00,Requester, Create Request for Quotation Requester,Immanuel Karagianni
10,2011-01-02T04:32:00,2011-01-02T04:59:00,Requester, Analyze Request for Quotation,Francois de Perrier
10,2011-01-03T01:50:00,2011-01-03T02:07:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
10,2011-01-03T02:31:00,2011-01-03T03:28:00,Requester, Create Quotation comparison Map,Karel de Groot
10,2011-01-03T10:44:00,2011-01-03T11:05:00,Requester, Analyze Quotation comparison Map,Anna Kaufmann
10,2011-01-03T11:05:00,2011-01-03T11:05:00,Requester, Choose best option,Nico Ojenbeer
10,2011-01-03T12:53:00,2011-01-03T17:31:00,Requester, Settle conditions with supplier,Karel de Groot
10,2011-01-03T22:44:00,2011-01-03T22:52:00,Requester, Create Purchase Order,Karel de Groot
10,2011-01-04T15:49:00,2011-01-04T15:58:00,Requester, Confirm Purchase Order,Carmen Finacse
10,2011-01-05T00:48:00,2011-01-06T14:19:00,Requester, Deliver Goods Services,Kiu Kan
10,2011-01-06T21:54:00,2011-01-06T21:55:00,Requester, Release Purchase Order,Tesca Lobes
10,2011-01-08T15:55:00,2011-01-08T15:56:00,Requester, Approve Purchase Order for payment,Karel de Groot
10,2011-01-09T13:23:00,2011-01-09T13:23:00,Requester, Send invoice,Karen Clarens
10,2011-01-10T03:45:00,2011-01-10T03:48:00,Requester, Release Supplier's Invoice,Karalda Nimwada
10,2011-01-10T04:09:00,2011-01-10T04:34:00,Requester, Settle dispute with supplier Financial Manager,Karalda Nimwada
10,2011-01-10T04:43:00,2011-01-10T04:43:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
10,2011-01-10T05:03:00,2011-01-10T05:16:00,Requester, Pay invoice,Pedro Alvares
11,2011-01-01T18:12:00,2011-01-01T18:53:00,Requester, Create Purchase Requisition,Miu Hanwan
11,2011-01-02T13:06:00,2011-01-02T13:12:00,Requester, Analyze Purchase Requisition,Francis Odell
11,2011-01-02T13:20:00,2011-01-02T13:22:00,Requester, Create Request for Quotation Requester Manager,Francis Odell
11,2011-01-03T02:07:00,2011-01-03T02:31:00,Requester, Analyze Request for Quotation,Karel de Groot
11,2011-01-03T03:21:00,2011-01-03T03:31:00,Requester, Amend Request for Quotation Requester,Nico Ojenbeer
11,2011-01-03T08:24:00,2011-01-03T08:57:00,Requester, Analyze Request for Quotation,Karel de Groot
12,2011-01-01T18:31:00,2011-01-01T18:41:00,Requester, Create Purchase Requisition,Alberto Duport
12,2011-01-02T12:35:00,2011-01-02T12:41:00,Requester, Analyze Purchase Requisition,Francis Odell
12,2011-01-03T00:31:00,2011-01-03T00:57:00,Requester, Amend Purchase Requisition,Penn Osterwalder
12,2011-01-03T06:18:00,2011-01-03T06:28:00,Requester, Create Request for Quotation Requester,Tesca Lobes
12,2011-01-03T07:32:00,2011-01-03T07:36:00,Requester, Analyze Request for Quotation,Karel de Groot
12,2011-01-03T08:22:00,2011-01-03T08:27:00,Requester, Amend Request for Quotation Requester,Penn Osterwalder
12,2011-01-03T09:24:00,2011-01-03T09:46:00,Requester, Analyze Request for Quotation,Karel de Groot
12,2011-01-03T10:35:00,2011-01-03T10:40:00,Requester, Amend Request for Quotation Requester,Penn Osterwalder
12,2011-01-03T11:41:00,2011-01-03T11:52:00,Requester, Analyze Request for Quotation,Magdalena Predutta
12,2011-01-03T12:40:00,2011-01-03T12:54:00,Requester, Amend Request for Quotation Requester,Penn Osterwalder
12,2011-01-03T13:45:00,2011-01-03T14:35:00,Requester, Analyze Request for Quotation,Francois de Perrier
12,2011-01-04T07:40:00,2011-01-04T08:03:00,Requester, Send Request for Quotation to Supplier,Magdalena Predutta
12,2011-01-04T08:42:00,2011-01-04T13:34:00,Requester, Create Quotation comparison Map,Magdalena Predutta
12,2011-01-04T20:34:00,2011-01-04T20:41:00,Requester, Analyze Quotation comparison Map,Esmana Liubiata
12,2011-01-04T20:41:00,2011-01-04T20:41:00,Requester, Choose best option,Immanuel Karagianni
12,2011-01-05T13:30:00,2011-01-05T18:00:00,Requester, Settle conditions with supplier,Magdalena Predutta
12,2011-01-06T02:20:00,2011-01-06T02:27:00,Requester, Create Purchase Order,Francois de Perrier
12,2011-01-06T14:33:00,2011-01-06T14:39:00,Requester, Confirm Purchase Order,Kiu Kan
12,2011-01-06T20:08:00,2011-01-08T02:08:00,Requester, Deliver Goods Services,Sean Manney
12,2011-01-08T09:16:00,2011-01-08T09:17:00,Requester, Release Purchase Order,Christian Francois
12,2011-01-08T11:48:00,2011-01-08T11:49:00,Requester, Approve Purchase Order for payment,Magdalena Predutta
12,2011-01-09T14:16:00,2011-01-09T14:16:00,Requester, Send invoice,Karen Clarens
12,2011-01-10T04:41:00,2011-01-10T04:46:00,Requester, Release Supplier's Invoice,Pedro Alvares
12,2011-01-10T04:46:00,2011-01-10T04:46:00,Requester, Authorize Supplier's Invoice payment,Karalda Nimwada
12,2011-01-10T04:53:00,2011-01-10T05:02:00,Requester, Pay invoice,Pedro Alvares
13,2011-01-01T20:47:00,2011-01-01T21:06:00,Requester, Create Purchase Requisition,Anna Kaufmann
13,2011-01-02T00:39:00,2011-01-02T00:48:00,Requester, Create Request for Quotation Requester,Anna Kaufmann
13,2011-01-02T04:33:00,2011-01-02T05:15:00,Requester, Analyze Request for Quotation,Karel de Groot
13,2011-01-02T06:04:00,2011-01-02T06:18:00,Requester, Amend Request for Quotation Requester,Anne Olwada
13,2011-01-02T07:29:00,2011-01-02T08:01:00,Requester, Analyze Request for Quotation,Magdalena Predutta
13,2011-01-02T08:51:00,2011-01-02T08:57:00,Requester, Amend Request for Quotation Requester,Christian Francois
13,2011-01-02T10:04:00,2011-01-02T10:35:00,Requester, Analyze Request for Quotation,Francois de Perrier
13,2011-01-02T11:23:00,2011-01-02T11:32:00,Requester, Amend Request for Quotation Requester,Anne Olwada
13,2011-01-02T12:27:00,2011-01-02T12:46:00,Requester, Analyze Request for Quotation,Francois de Perrier
13,2011-01-03T04:19:00,2011-01-03T04:54:00,Requester, Send Request for Quotation to Supplier,Karel de Groot
13,2011-01-03T05:28:00,2011-01-03T07:32:00,Requester, Create Quotation comparison Map,Karel de Groot
13,2011-01-03T14:42:00,2011-01-03T15:00:00,Requester, Analyze Quotation comparison Map,Clement Duchot
13,2011-01-03T15:00:00,2011-01-03T15:00:00,Requester, Choose best option,Nico Ojenbeer
13,2011-01-03T17:02:00,2011-01-03T21:01:00,Requester, Settle conditions with supplier,Francois de Perrier
13,2011-01-03T23:11:00,2011-01-03T23:23:00,Requester, Create Purchase Order,Karel de Groot
13,2011-01-04T15:30:00,2011-01-04T15:37:00,Requester, Confirm Purchase Order,Carmen Finacse
13,2011-01-05T02:37:00,2011-01-06T18:21:00,Requester, Deliver Goods Services,Sean Manney
13,2011-01-07T02:09:00,2011-01-07T02:10:00,Requester, Release Purchase Order,Christian Francois
13,2011-01-07T10:34:00,2011-01-07T19:37:00,Requester, Settle dispute with supplier Purchasing Agent,Francois de Perrier
13,2011-01-08T03:22:00,2011-01-08T03:23:00,Requester, Release Purchase Order,Immanuel Karagianni
13,2011-01-08T15:01:00,2011-01-08T15:02:00,Requester, Approve Purchase Order for payment,Francois de Perrier
13,2011-01-09T04:46:00,2011-01-09T04:46:00,Requester, Send invoice,Sean Manney
13,2011-01-09T19:22:00,2011-01-09T19:25:00,Requester, Release Supplier's Invoice,Pedro Alvares
13,2011-01-09T19:25:00,2011-01-09T19:25:00,Requester, Authorize Supplier's Invoice payment,Pedro Alvares
13,2011-01-09T19:36:00,2011-01-09T19:49:00,Requester, Pay invoice,Pedro Alvares
14,2011-01-02T02:58:00,2011-01-02T03:50:00,Requester, Create Purchase Requisition,Miu Hanwan
14,2011-01-02T17:56:00,2011-01-02T18:04:00,Requester, Analyze Purchase Requisition,Maris Freeman
14,2011-01-02T18:11:00,2011-01-02T18:14:00,Requester, Create Request for Quotation Requester Manager,Maris Freeman
14,2011-01-03T01:17:00,2011-01-03T01:52:00,Requester, Analyze Request for Quotation,Magdalena Predutta
14,2011-01-03T02:45:00,2011-01-03T02:56:00,Requester, Amend Request for Quotation Requester,Christian Francois
14,2011-01-03T03:28:00,2011-01-03T03:57:00,Requester, Analyze Request for Quotation,Karel de Groot
14,2011-01-03T04:52:00,2011-01-03T04:59:00,Requester, Amend Request for Quotation Requester,Tesca Lobes
14,2011-01-03T09:06:00,2011-01-03T09:38:00,Requester, Analyze Request for Quotation,Magdalena Predutta
14,2011-01-03T10:26:00,2011-01-03T10:33:00,Requester, Amend Request for Quotation Requester,Clement Duchot
14,2011-01-03T11:44:00,2011-01-03T12:21:00,Requester, Analyze Request for Quotation,Karel de Groot
14,2011-01-03T21:01:00,2011-01-03T21:18:00,Requester, Send Request for Quotation to Supplier,Francois de Perrier
14,2011-01-04T00:26:00,2011-01-04T05:43:00,Requester, Create Quotation comparison Map,Karel de Groot
14,2011-01-04T11:51:00,2011-01-04T12:00:00,Requester, Analyze Quotation comparison Map,Penn Osterwalder
14,2011-01-04T12:00:00,2011-01-04T12:00:00,Requester, Choose best option,Anne Olwada
14,2011-01-04T15:26:00,2011-01-05T05:28:00,Requester, Settle conditions with supplier,Francois de Perrier
14,2011-01-06T02:27:00,2011-01-06T02:40:00,Requester, Create Purchase Order,Francois de Perrier
14,2011-01-06T15:28:00,2011-01-06T15:40:00,Requester, Confirm Purchase Order,Kiu Kan
14,2011-01-07T14:26:00,2011-01-09T00:38:00,Requester, Deliver Goods Services,Kiu Kan
14,2011-01-09T07:55:00,2011-01-09T07:56:00,Requester, Release Purchase Order,Immanuel Karagianni
